Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
SE,MG,ARAXA,MAXDIESEL VEICULOS E PECAS - EIRELI,17.997.479/0009-32,AVENIDA IMBIARA,603,,CENTRO,38180-000,ETANOL,23/05/2023,4.29,,R$ / litro,RAIZEN,2023-11-21
SE,MG,ARAXA,MAXDIESEL VEICULOS E PECAS - EIRELI,17.997.479/0009-32,AVENIDA IMBIARA,603,,CENTRO,38180-000,DIESEL,23/05/2023,5.46,,R$ / litro,RAIZEN,2023-11-21
SE,MG,ARAXA,MAXDIESEL VEICULOS E PECAS - EIRELI,17.997.479/0009-32,AVENIDA IMBIARA,603,,CENTRO,38180-000,GASOLINA ADITIVADA,23/05/2023,5.49,,R$ / litro,RAIZEN,2023-11-21
SE,MG,ARAXA,MAXDIESEL VEICULOS E PECAS - EIRELI,17.997.479/0009-32,AVENIDA IMBIARA,603,,CENTRO,38180-000,GASOLINA,23/05/2023,5.49,,R$ / litro,RAIZEN,2023-11-21
SE,MG,ARAXA,POSTOS ALPA LTDA,02.234.943/0005-38,AVENIDA MINISTRO OLAVO DRUMMOND,500,,AEROPORTO,38180-400,ETANOL,23/05/2023,4.29,,R$ / litro,RAIZEN,2023-11-21
SE,MG,ARAXA,POSTOS ALPA LTDA,02.234.943/0005-38,AVENIDA MINISTRO OLAVO DRUMMOND,500,,AEROPORTO,38180-400,DIESEL S10,23/05/2023,4.99,,R$ / litro,RAIZEN,2023-11-21
SE,MG,ARAXA,POSTOS ALPA LTDA,02.234.943/0005-38,AVENIDA MINISTRO OLAVO DRUMMOND,500,,AEROPORTO,38180-400,DIESEL,23/05/2023,4.89,,R$ / litro,RAIZEN,2023-11-21
SE,MG,ARAXA,POSTOS ALPA LTDA,02.234.943/0005-38,AVENIDA MINISTRO OLAVO DRUMMOND,500,,AEROPORTO,38180-400,GASOLINA ADITIVADA,23/05/2023,5.49,,R$ / litro,RAIZEN,2023-11-21
SE,MG,ARAXA,POSTOS ALPA LTDA,02.234.943/0005-38,AVENIDA MINISTRO OLAVO DRUMMOND,500,,AEROPORTO,38180-400,GASOLINA,23/05/2023,5.49,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO PIRAJA LIMITADA,17.185.760/0001-13,AVENIDA WALDOMIRO LOBO,432,,GUARANI,31814-620,ETANOL,23/05/2023,3.69,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO PIRAJA LIMITADA,17.185.760/0001-13,AVENIDA WALDOMIRO LOBO,432,,GUARANI,31814-620,DIESEL,23/05/2023,4.89,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO PIRAJA LIMITADA,17.185.760/0001-13,AVENIDA WALDOMIRO LOBO,432,,GUARANI,31814-620,GASOLINA ADITIVADA,23/05/2023,5.19,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO PIRAJA LIMITADA,17.185.760/0001-13,AVENIDA WALDOMIRO LOBO,432,,GUARANI,31814-620,GASOLINA,23/05/2023,4.99,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,AGUIA IV COMERCIO DE COMBUSTIVEIS LTDA,07.946.419/0001-80,RUA PARA DE MINAS,320,,PADRE EUSTAQUIO,30730-440,ETANOL,23/05/2023,3.53,,R$ / litro,ALESAT,2023-11-21
SE,MG,BELO HORIZONTE,AGUIA IV COMERCIO DE COMBUSTIVEIS LTDA,07.946.419/0001-80,RUA PARA DE MINAS,320,,PADRE EUSTAQUIO,30730-440,GASOLINA,23/05/2023,4.86,,R$ / litro,ALESAT,2023-11-21
SE,MG,BELO HORIZONTE,POSTO BEAGAS GNV LTDA.,07.434.428/0001-91,AVENIDA DOM PEDRO II,4685,,JARDIM MONTANHES,30730-690,ETANOL,22/05/2023,3.47,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO BEAGAS GNV LTDA.,07.434.428/0001-91,AVENIDA DOM PEDRO II,4685,,JARDIM MONTANHES,30730-690,GASOLINA ADITIVADA,22/05/2023,5.37,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO BEAGAS GNV LTDA.,07.434.428/0001-91,AVENIDA DOM PEDRO II,4685,,JARDIM MONTANHES,30730-690,GASOLINA,22/05/2023,4.97,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO BEAGAS GNV LTDA.,07.434.428/0001-91,AVENIDA DOM PEDRO II,4685,,JARDIM MONTANHES,30730-690,GNV,22/05/2023,4.39,,R$ / m³,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,AUTO POSTO VALE LTDA,02.369.525/0001-24,AVENIDA VILARINHO,1146,,VENDA NOVA,31615-250,ETANOL,22/05/2023,3.67,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,AUTO POSTO VALE LTDA,02.369.525/0001-24,AVENIDA VILARINHO,1146,,VENDA NOVA,31615-250,GASOLINA ADITIVADA,22/05/2023,5.29,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,AUTO POSTO VALE LTDA,02.369.525/0001-24,AVENIDA VILARINHO,1146,,VENDA NOVA,31615-250,GASOLINA,22/05/2023,4.94,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO POETA LTDA,05.577.012/0001-05,AVENIDA DOM PEDRO I,2355,,SAO JOAO BATISTA,31515-300,ETANOL,22/05/2023,3.57,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO POETA LTDA,05.577.012/0001-05,AVENIDA DOM PEDRO I,2355,,SAO JOAO BATISTA,31515-300,GASOLINA ADITIVADA,22/05/2023,5.17,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO POETA LTDA,05.577.012/0001-05,AVENIDA DOM PEDRO I,2355,,SAO JOAO BATISTA,31515-300,GASOLINA,22/05/2023,4.97,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO WAP AMAZONAS LTDA.,06.041.725/0001-04,AVENIDA AMAZONAS,5234,,NOVA SUISSA,30421-056,ETANOL,24/05/2023,3.59,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO WAP AMAZONAS LTDA.,06.041.725/0001-04,AVENIDA AMAZONAS,5234,,NOVA SUISSA,30421-056,GASOLINA ADITIVADA,24/05/2023,5.39,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO WAP AMAZONAS LTDA.,06.041.725/0001-04,AVENIDA AMAZONAS,5234,,NOVA SUISSA,30421-056,GASOLINA,24/05/2023,4.99,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO VILA NOSSA SENHORA DE FATIMA LTDA,05.462.748/0001-20,AVENIDA NOSSA SENHORA DE FATIMA,"2,401",,CARLOS PRATES,30710-020,ETANOL,22/05/2023,3.59,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO VILA NOSSA SENHORA DE FATIMA LTDA,05.462.748/0001-20,AVENIDA NOSSA SENHORA DE FATIMA,"2,401",,CARLOS PRATES,30710-020,DIESEL S10,22/05/2023,4.99,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO VILA NOSSA SENHORA DE FATIMA LTDA,05.462.748/0001-20,AVENIDA NOSSA SENHORA DE FATIMA,"2,401",,CARLOS PRATES,30710-020,GASOLINA ADITIVADA,22/05/2023,5.17,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO VILA NOSSA SENHORA DE FATIMA LTDA,05.462.748/0001-20,AVENIDA NOSSA SENHORA DE FATIMA,"2,401",,CARLOS PRATES,30710-020,GASOLINA,22/05/2023,4.97,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO ALLGAS LTDA,05.351.360/0001-51,AVENIDA SARAMENHA,1632,,GUARANI,31840-220,ETANOL,23/05/2023,3.69,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO ALLGAS LTDA,05.351.360/0001-51,AVENIDA SARAMENHA,1632,,GUARANI,31840-220,GASOLINA ADITIVADA,23/05/2023,5.38,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO ALLGAS LTDA,05.351.360/0001-51,AVENIDA SARAMENHA,1632,,GUARANI,31840-220,GASOLINA,23/05/2023,4.98,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO LUPUS ISABEL BUENO LTDA.,02.507.257/0001-60,AVENIDA IZABEL BUENO,139,,VILA IANDAIA,31270-030,ETANOL,23/05/2023,3.54,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO LUPUS ISABEL BUENO LTDA.,02.507.257/0001-60,AVENIDA IZABEL BUENO,139,,VILA IANDAIA,31270-030,GASOLINA ADITIVADA,23/05/2023,5.29,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO LUPUS ISABEL BUENO LTDA.,02.507.257/0001-60,AVENIDA IZABEL BUENO,139,,VILA IANDAIA,31270-030,GASOLINA,23/05/2023,4.97,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO BRUNA LTDA.,00.247.861/0001-79,RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO,11333,,DOM BOSCO,30850-453,ETANOL,23/05/2023,3.59,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO BRUNA LTDA.,00.247.861/0001-79,RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO,11333,,DOM BOSCO,30850-453,DIESEL,23/05/2023,4.84,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO BRUNA LTDA.,00.247.861/0001-79,RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO,11333,,DOM BOSCO,30850-453,GASOLINA,23/05/2023,4.95,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,MARLIN EMPREENDIMENTOS LTDA,02.685.478/0001-28,AVENIDA AMERICO VESPUCIO,501,,APARECIDA,31230-240,ETANOL,23/05/2023,3.99,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,MARLIN EMPREENDIMENTOS LTDA,02.685.478/0001-28,AVENIDA AMERICO VESPUCIO,501,,APARECIDA,31230-240,DIESEL S10,23/05/2023,5.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,MARLIN EMPREENDIMENTOS LTDA,02.685.478/0001-28,AVENIDA AMERICO VESPUCIO,501,,APARECIDA,31230-240,GASOLINA,23/05/2023,5.09,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO BALUARTE LTDA,02.911.786/0001-24,RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO,23750,,EYMARD,31910-585,ETANOL,23/05/2023,3.59,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO BALUARTE LTDA,02.911.786/0001-24,RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO,23750,,EYMARD,31910-585,GASOLINA ADITIVADA,23/05/2023,5.39,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO BALUARTE LTDA,02.911.786/0001-24,RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO,23750,,EYMARD,31910-585,GASOLINA,23/05/2023,4.99,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO AGUIA COMERCIO DE COMBUSTIVEIS LTDA,00.722.792/0001-08,AVENIDA SARAMENHA,1062,,TUPI,31840-220,ETANOL,23/05/2023,3.69,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO AGUIA COMERCIO DE COMBUSTIVEIS LTDA,00.722.792/0001-08,AVENIDA SARAMENHA,1062,,TUPI,31840-220,GASOLINA ADITIVADA,23/05/2023,5.38,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO AGUIA COMERCIO DE COMBUSTIVEIS LTDA,00.722.792/0001-08,AVENIDA SARAMENHA,1062,,TUPI,31840-220,GASOLINA,23/05/2023,4.98,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,L. C. EMPREENDIMENTOS LTDA,00.415.374/0001-78,AVENIDA DIS ENGENHEIROS,1620,,CASTELO,30840-300,ETANOL,22/05/2023,3.99,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,L. C. EMPREENDIMENTOS LTDA,00.415.374/0001-78,AVENIDA DIS ENGENHEIROS,1620,,CASTELO,30840-300,DIESEL S10,22/05/2023,5.49,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,L. C. EMPREENDIMENTOS LTDA,00.415.374/0001-78,AVENIDA DIS ENGENHEIROS,1620,,CASTELO,30840-300,GASOLINA ADITIVADA,22/05/2023,5.39,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,L. C. EMPREENDIMENTOS LTDA,00.415.374/0001-78,AVENIDA DIS ENGENHEIROS,1620,,CASTELO,30840-300,GASOLINA,22/05/2023,5.19,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO DANUBIO LTDA,17.288.630/0001-06,RUA JACUI,2300,,RENASCENCA,31140-650,ETANOL,23/05/2023,3.49,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO DANUBIO LTDA,17.288.630/0001-06,RUA JACUI,2300,,RENASCENCA,31140-650,DIESEL S10,23/05/2023,4.99,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO DANUBIO LTDA,17.288.630/0001-06,RUA JACUI,2300,,RENASCENCA,31140-650,GASOLINA ADITIVADA,23/05/2023,5.09,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO DANUBIO LTDA,17.288.630/0001-06,RUA JACUI,2300,,RENASCENCA,31140-650,GASOLINA,23/05/2023,4.89,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO JAVARI EIRELI,16.679.276/0001-88,RUA DESCALVADO,661,,RENASCENCA,31130-610,ETANOL,23/05/2023,3.47,,R$ / litro,BRANCA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO JAVARI EIRELI,16.679.276/0001-88,RUA DESCALVADO,661,,RENASCENCA,31130-610,GASOLINA,23/05/2023,4.85,,R$ / litro,BRANCA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO ANTUNES LTDA,01.553.073/0001-73,AVENIDA PORTUGAL,2603,,SANTA AMELIA,31555-000,ETANOL,22/05/2023,3.57,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO ANTUNES LTDA,01.553.073/0001-73,AVENIDA PORTUGAL,2603,,SANTA AMELIA,31555-000,GASOLINA ADITIVADA,22/05/2023,5.19,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO ANTUNES LTDA,01.553.073/0001-73,AVENIDA PORTUGAL,2603,,SANTA AMELIA,31555-000,GASOLINA,22/05/2023,4.97,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,CELT -COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,01.830.179/0001-77,AVENIDA DOM PEDRO I,2177,LETRA A,SAO JOAO BATISTA,31515-300,ETANOL,22/05/2023,3.57,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,CELT -COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,01.830.179/0001-77,AVENIDA DOM PEDRO I,2177,LETRA A,SAO JOAO BATISTA,31515-300,DIESEL S10,22/05/2023,4.99,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,CELT -COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,01.830.179/0001-77,AVENIDA DOM PEDRO I,2177,LETRA A,SAO JOAO BATISTA,31515-300,GASOLINA ADITIVADA,22/05/2023,5.17,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,CELT -COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,01.830.179/0001-77,AVENIDA DOM PEDRO I,2177,LETRA A,SAO JOAO BATISTA,31515-300,GASOLINA,22/05/2023,4.97,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,CELT -COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,01.830.179/0001-77,AVENIDA DOM PEDRO I,2177,LETRA A,SAO JOAO BATISTA,31515-300,GNV,22/05/2023,4.59,,R$ / m³,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,ECO EMPREENDIMENTOS COMERCIAIS LTDA,00.194.032/0001-75,RUA TUPIS,1774,,BARRO PRETO,30190-062,ETANOL,23/05/2023,3.47,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,ECO EMPREENDIMENTOS COMERCIAIS LTDA,00.194.032/0001-75,RUA TUPIS,1774,,BARRO PRETO,30190-062,GASOLINA ADITIVADA,23/05/2023,5.27,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,ECO EMPREENDIMENTOS COMERCIAIS LTDA,00.194.032/0001-75,RUA TUPIS,1774,,BARRO PRETO,30190-062,GASOLINA,23/05/2023,4.87,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO TRANCOSO LTDA,03.911.603/0001-33,RUA JOSE CLETO,1232,,SANTA CRUZ,31155-290,ETANOL,23/05/2023,3.47,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO TRANCOSO LTDA,03.911.603/0001-33,RUA JOSE CLETO,1232,,SANTA CRUZ,31155-290,DIESEL S10,23/05/2023,4.99,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO TRANCOSO LTDA,03.911.603/0001-33,RUA JOSE CLETO,1232,,SANTA CRUZ,31155-290,GASOLINA,23/05/2023,4.88,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO UNIAO LTDA,17.335.829/0001-48,AVENIDA DOM PEDRO I,3880,,VNDA NOVA,31720-000,ETANOL,22/05/2023,3.69,,R$ / litro,BRANCA,2023-11-21
SE,MG,BELO HORIZONTE,EXXEL REVENDEDORA DE DERIVADOS DE PETROLEO LTDA,17.332.487/0001-02,AVENIDA VER CICERO ILDEFONSO,539,,JOAO PINHEIRO,30530-000,ETANOL,23/05/2023,3.69,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,EXXEL REVENDEDORA DE DERIVADOS DE PETROLEO LTDA,17.332.487/0001-02,AVENIDA VER CICERO ILDEFONSO,539,,JOAO PINHEIRO,30530-000,GASOLINA,23/05/2023,4.87,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,TIC TAC DERIVADOS DE PETROLEO LTDA,17.269.218/0001-49,AVENIDA DO CONTORNO,9645,,PRADO,30110-063,ETANOL,23/05/2023,3.59,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,TIC TAC DERIVADOS DE PETROLEO LTDA,17.269.218/0001-49,AVENIDA DO CONTORNO,9645,,PRADO,30110-063,GASOLINA,23/05/2023,4.87,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO COELHO LTDA,17.162.629/0001-30,AVENIDA ANTONIO CARLOS,3550,,CACHOEIRINHA,31210-800,ETANOL,23/05/2023,3.57,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO COELHO LTDA,17.162.629/0001-30,AVENIDA ANTONIO CARLOS,3550,,CACHOEIRINHA,31210-800,GASOLINA ADITIVADA,23/05/2023,5.07,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO COELHO LTDA,17.162.629/0001-30,AVENIDA ANTONIO CARLOS,3550,,CACHOEIRINHA,31210-800,GASOLINA,23/05/2023,4.87,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO COELHO LTDA,17.162.629/0001-30,AVENIDA ANTONIO CARLOS,3550,,CACHOEIRINHA,31210-800,GNV,23/05/2023,4.39,,R$ / m³,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO GLORIA LIMITADA,16.682.296/0001-08,RUA DEP CLAUDIO P DE LIMA,957,,N S GLORIA,30870-020,ETANOL,22/05/2023,3.48,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO GLORIA LIMITADA,16.682.296/0001-08,RUA DEP CLAUDIO P DE LIMA,957,,N S GLORIA,30870-020,DIESEL S10,22/05/2023,4.99,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO GLORIA LIMITADA,16.682.296/0001-08,RUA DEP CLAUDIO P DE LIMA,957,,N S GLORIA,30870-020,GASOLINA,22/05/2023,4.95,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO AEROPORTO LTDA,16.665.259/0001-91,RUA PROFESSOR MAGALHAES PENIDO,540,,SAO LUIZ (PAMPULHA),31270-700,ETANOL,23/05/2023,3.47,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO AEROPORTO LTDA,16.665.259/0001-91,RUA PROFESSOR MAGALHAES PENIDO,540,,SAO LUIZ (PAMPULHA),31270-700,DIESEL S10,23/05/2023,4.99,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO AEROPORTO LTDA,16.665.259/0001-91,RUA PROFESSOR MAGALHAES PENIDO,540,,SAO LUIZ (PAMPULHA),31270-700,GASOLINA ADITIVADA,23/05/2023,5.17,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO AEROPORTO LTDA,16.665.259/0001-91,RUA PROFESSOR MAGALHAES PENIDO,540,,SAO LUIZ (PAMPULHA),31270-700,GASOLINA,23/05/2023,4.97,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,ALMADA & CIA LIMITADA,16.626.814/0001-76,RUA JACUI,4040,,IPIRANGA,31160-190,ETANOL,23/05/2023,3.49,,R$ / litro,BRANCA,2023-11-21
SE,MG,BELO HORIZONTE,ALMADA & CIA LIMITADA,16.626.814/0001-76,RUA JACUI,4040,,IPIRANGA,31160-190,DIESEL,23/05/2023,4.79,,R$ / litro,BRANCA,2023-11-21
SE,MG,BELO HORIZONTE,ALMADA & CIA LIMITADA,16.626.814/0001-76,RUA JACUI,4040,,IPIRANGA,31160-190,GASOLINA,23/05/2023,4.89,,R$ / litro,BRANCA,2023-11-21
SE,MG,BELO HORIZONTE,MINEIRAO POSTO DE SERVICOS LTDA,16.599.607/0001-70,AVENIDA PRESIDENTE ANTONIO CARLOS,2710,,CACHOEIRINHA,31130-194,ETANOL,23/05/2023,3.57,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,MINEIRAO POSTO DE SERVICOS LTDA,16.599.607/0001-70,AVENIDA PRESIDENTE ANTONIO CARLOS,2710,,CACHOEIRINHA,31130-194,GASOLINA,23/05/2023,4.87,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,MINEIRAO POSTO DE SERVICOS LTDA,16.599.607/0001-70,AVENIDA PRESIDENTE ANTONIO CARLOS,2710,,CACHOEIRINHA,31130-194,GNV,23/05/2023,4.39,,R$ / m³,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO PIO XII LTDA.,05.020.360/0001-79,AVENIDA DO CONTORNO,9008,,SANTO AGOSTINHO,30110-067,ETANOL,23/05/2023,3.59,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO PIO XII LTDA.,05.020.360/0001-79,AVENIDA DO CONTORNO,9008,,SANTO AGOSTINHO,30110-067,GASOLINA ADITIVADA,23/05/2023,5.39,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO PIO XII LTDA.,05.020.360/0001-79,AVENIDA DO CONTORNO,9008,,SANTO AGOSTINHO,30110-067,GASOLINA,23/05/2023,4.99,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,COMERCIAL RACOL LTDA,04.755.071/0001-55,AVENIDA BRIGADEIRO EDUARDO GOMES,1980,,GLORIA,30870-100,ETANOL,22/05/2023,3.69,,R$ / litro,BRANCA,2023-11-21
SE,MG,BELO HORIZONTE,COMERCIAL RACOL LTDA,04.755.071/0001-55,AVENIDA BRIGADEIRO EDUARDO GOMES,1980,,GLORIA,30870-100,GASOLINA,22/05/2023,4.99,,R$ / litro,BRANCA,2023-11-21
SE,MG,BELO HORIZONTE,GNV SETE BELO LTDA,04.399.544/0001-29,AVENIDA CRISTIANO MACHADO,8898,,MINASLANDIA,31812-112,ETANOL,23/05/2023,3.69,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,GNV SETE BELO LTDA,04.399.544/0001-29,AVENIDA CRISTIANO MACHADO,8898,,MINASLANDIA,31812-112,DIESEL S10,23/05/2023,5.19,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,GNV SETE BELO LTDA,04.399.544/0001-29,AVENIDA CRISTIANO MACHADO,8898,,MINASLANDIA,31812-112,GASOLINA,23/05/2023,4.99,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,GNV SETE BELO LTDA,04.399.544/0001-29,AVENIDA CRISTIANO MACHADO,8898,,MINASLANDIA,31812-112,GNV,23/05/2023,4.55,,R$ / m³,VIBRA ENERGIA,2023-11-21
SE,MG,BELO HORIZONTE,POSTO MARTE LTDA,03.638.042/0001-40,RUA JACUI,1712,,GRACA,31110-050,ETANOL,23/05/2023,3.57,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO MARTE LTDA,03.638.042/0001-40,RUA JACUI,1712,,GRACA,31110-050,GASOLINA ADITIVADA,23/05/2023,5.19,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,POSTO MARTE LTDA,03.638.042/0001-40,RUA JACUI,1712,,GRACA,31110-050,GASOLINA,23/05/2023,5.19,,R$ / litro,RAIZEN,2023-11-21
SE,MG,BELO HORIZONTE,DUTRA E SILVA LTDA,02.104.426/0001-10,AVENIDA DOS ENGENHEIROS,465,,ALIPIO DE MELO,30840-300,ETANOL,22/05/2023,3.99,,R$ / litro,IPIRANGA,2023-11-21
SE,MG,BELO HORIZONTE,DUTRA E SILVA LTDA,02.104.426/0001-10,AVENIDA DOS ENGENHEIROS,465,,ALIPIO DE MELO,30840-300,DIESEL S10,22/05/2023,5.29,,R$ / litro,IPIRANGA,2023-11-21
